,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10535,33848415,Coqueto  y luminoso depto en plaza San Martín,135362822,Mariela,,Retiro,-34.59584,-58.37524,Entire home/apt,2405,2,14,2019-11-17,0.57,1,260,0,
10536,33851462,Humboldt Apart w/amenities @Palermo,113221419,Manuela,,Palermo,-34.57842,-58.43008,Entire home/apt,1924,3,33,2021-01-19,1.21,9,269,10,
10537,33851525,MI RINCÓN,250503949,Ruben,,Balvanera,-34.6166,-58.39533,Entire home/apt,1732,2,54,2019-06-19,2.01,1,365,0,
10538,33851649,Luminous cozy 2bedr/2bathr+terrace&balcony Palermo,9442156,Julián Ignacio,,Palermo,-34.58952,-58.43471,Entire home/apt,5772,2,23,2020-02-29,1.07,2,260,0,
10539,33853931,Recoleta premium suite,67623441,Pablo,,Recoleta,-34.58953,-58.40255,Private room,1190,2,1,2019-05-05,0.04,1,179,0,
10540,33854839,"En el corazón de la Recoleta - Confort, Luz y zona",187513842,Maria,,Recoleta,-34.58776,-58.39601,Entire home/apt,4329,3,1,2019-05-23,0.04,1,365,0,
10541,33855664,Bohemian Room in Palermo 2 blocks Subway !!!,100423828,Natalia,,Palermo,-34.59122,-58.4135,Private room,1924,1,1,2019-07-25,0.04,1,90,0,
10542,33857332,"Private Bed in Shared Dormitory, Women only",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,2,2020-01-31,0.11,46,365,0,
10543,33857653,"Women only, cozy and beautiful Podbed in Recoleta",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,1,2019-04-15,0.04,46,365,0,
10544,33857788,"Shared Dormitory 100% privacy Podbed , Women only",87197898,Alberto,,Recoleta,-34.59433,-58.39574,Hotel room,962,3,1,2019-07-09,0.04,46,365,0,
10545,33857852,Residencia Universitaria en Recoleta cerca de UBA,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,1,2020-01-19,0.05,46,365,0,
10546,33857920,"Zona turística Shared Dormitory, Men only #Podbeds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,7,2,2019-10-16,0.12,46,365,0,
10547,33857992,La mejor ubicación en Recoleta 5 minutos de la UBA,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,1,1,2020-03-31,0.06,46,365,0,
10548,33858026,Habitaciones compartidas con diseño moderno,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,1058,1,1,2019-12-20,0.05,46,365,0,
10549,33858109,"Shared Dormitory, Men only, rent Double BUNKBED",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,7,2,2019-11-13,0.08,46,365,0,
10550,33858185,"Cama camarote cortinas blackout , Solo Hombres",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,1,1,2020-02-24,0.06,46,365,0,
10551,33858221,Capsule hostel Para estudiantes universitarios,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,2,2020-03-17,0.08,46,365,0,
10552,33858255,"Increíble comodidad, camas privadas con cortinas",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10553,33858291,"Muy hermoso lugar, muy comodas las camas y baños",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,1,2019-10-13,0.05,46,365,0,
10554,33858325,"habitación compartida, ubicación insuperable",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,1,2021-01-04,0.15,46,365,1,
10555,33858360,Amazing place right in the heart of Recoleta,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10556,33858412,Capsule Hostel para estudiantes universitarios,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10557,33858459,"En Recoleta, cerca de las universidades, ideal UBA",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,2,2020-05-31,0.08,46,365,0,
10558,33858516,"Shared Room, Men only, 7 bunkbeds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10559,33858561,Alquiler temporario para estudiantes en Recoleta,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10560,33858652,"Shared Dormitory, Mixed Dorm",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,1,1,2020-03-13,0.06,46,365,0,
10561,33858686,"Shared Dormitory for International Students, MIXED",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,1,3,2020-11-09,0.12,46,365,1,
10562,33858730,"A 500m de la UBA,Shared Dormitory, Mixed Dorm",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,7,0,,,46,365,0,
10563,33858778,"Shared Dormitory, Mixed Dorm, 10 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10564,33858832,Mixed Dorm Shared Dormitory,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10565,33858883,Student Housing Mixed Dorm in Recoleta,87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,1,0,,,46,365,0,
10566,33858917,"Shared Dormitory, Mixed Dorm, 100%Private Bunkbed",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,21,0,,,46,365,0,
10567,33858939,"Cozy and comfortable Shared Dormitory, Mixed Dorm",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10568,33859010,"Shared Dormitory, Mixed Dorm, 10 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10569,33859139,"Shared Dormitory, Mixed Dorm, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,1,2019-07-08,0.04,46,365,0,
10570,33859213,"Shared Dormitory, Mixed Dorm, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10571,33859269,"Shared Dormitory, Mixed Dorm, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,3,2019-12-19,0.12,46,365,0,
10572,33859413,"Shared Dormitory, Mixed Dorm, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10573,33859536,"Shared Dormitory, Women only, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,4,2019-10-13,0.16,46,365,0,
10574,33859650,"Shared Dormitory, Women only, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10575,33859709,"Shared Dormitory, Women only, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10576,33868084,Great apartment and location! Las Cañitas,113806334,Valeria,,Palermo,-34.57318,-58.43045,Entire home/apt,3500,2,33,2019-11-29,1.23,1,14,0,
10577,33872235,Departamento para 5 personas CENTRO BAIRES,231513406,Ezequiel,,San Cristobal,-34.6197,-58.39942,Entire home/apt,2309,3,0,,,14,90,0,
10578,33873129,Departamento de dos ambientes- Alquiler temporario,58878209,Yanina,,Balvanera,-34.61778,-58.40084,Entire home/apt,2337,2,1,2019-06-18,0.04,11,90,0,
10579,33878304,Impeccable apartment in Palermo Hollywood,201402350,Yael Vanina,,Palermo,-34.58479,-58.44306,Entire home/apt,1828,1,44,2020-08-03,1.64,26,66,5,
10580,33879678,Departamento zona recoleta súper luminoso,25541999,Agus,,Retiro,-34.59624,-58.38192,Entire home/apt,11545,4,0,,,1,89,0,
10581,33880591,"Sunny 1 BR in Palermo. Balcony, pool & location!",210469,Pablo,,Palermo,-34.57381,-58.43863,Entire home/apt,2818,2,27,2020-12-21,1.0,1,319,7,
10582,33880813,PRIVATE BEDROOM IN BUENOS AIRES,226297612,Matias,,Colegiales,-34.57227,-58.44881,Private room,1059,1,4,2019-08-24,0.15,2,179,0,
10583,33881487,Belgrano-Nuñez Sport District,40699491,Andres,,Nuñez,-34.54995,-58.45611,Entire home/apt,2694,5,2,2020-03-27,0.08,3,136,0,
10584,33882302,Sunny & comfortable Flat in Belgrano.,255870032,Karina,,Colegiales,-34.57014,-58.44869,Entire home/apt,4329,2,0,,,1,90,0,
10585,33882303,Nuevo Triplex en Palermo Hollywood !,221143897,Jean-Luc,,Palermo,-34.57917,-58.4332,Entire home/apt,2886,4,8,2019-12-15,0.32,1,13,0,
10586,33882480,"Hermoso, moderno y equipado, full amenities.",1028764,Cecilia,,Palermo,-34.57741,-58.43833,Entire home/apt,6253,3,5,2019-06-12,0.21,86,179,0,
10587,33882607,Habitación con baño privado frente al Abasto,255873049,Leandro,,Balvanera,-34.60406,-58.41274,Private room,960,2,2,2019-05-20,0.07,1,364,0,
10588,33883284,Spacious Apartment II,27656029,Diego,,Palermo,-34.58172,-58.40095,Entire home/apt,7696,2,1,2019-04-30,0.04,7,89,0,
10589,33883835,BAA 2303 / Desde el cielo de Buenos Aires III.,67262620,Carlos,,San Nicolas,-34.60328,-58.37929,Entire home/apt,3367,1,52,2020-02-08,1.9,4,181,0,
